Scanning 11 equip archives...
Processing S3D:  gequip.s3d Skip Images:  true
[PFS] Directory count: 854 at offset 2455341
  [94] Entry: CRC=0x2257c89f, Offset=2449121, Size=5174
  [95] Entry: CRC=0x2328fc26, Offset=589085, Size=5174
  [96] Entry: CRC=0x2358826b, Offset=1971084, Size=9272
  [97] Entry: CRC=0x236498f0, Offset=1880070, Size=5174
  [98] Entry: CRC=0x23e42662, Offset=1547356, Size=5176
  [99] Entry: CRC=0x2417d15e, Offset=332271, Size=8820
  [100] Entry: CRC=0x246a6cd3, Offset=1827697, Size=5176
  [101] Entry: CRC=0x24c30c91, Offset=1701039, Size=1092
  [102] Entry: CRC=0x24f10ded, Offset=140991, Size=3120
  [103] Entry: CRC=0x25260bdd, Offset=274067, Size=5176
  [104] Entry: CRC=0x258cc0b4, Offset=2396004, Size=5168
  [105] Entry: CRC=0x259b7606, Offset=546939, Size=1140
  [106] Entry: CRC=0x259ee02d, Offset=2057207, Size=1444
  [107] Entry: CRC=0x26047b1b, Offset=1363990, Size=5176
  [108] Entry: CRC=0x260e913f, Offset=794103, Size=5174
  [109] Entry: CRC=0x2666e129, Offset=550403, Size=3126
  [110] Entry: CRC=0x26a8401a, Offset=534313, Size=1212
  [111] Entry: CRC=0x26ec71c2, Offset=599586, Size=5174
  [112] Entry: CRC=0x27512c46, Offset=228342, Size=5174
  [113] Entry: CRC=0x275f62e5, Offset=787891, Size=5174
  [114] Entry: CRC=0x27927735, Offset=195643, Size=976
  [115] Entry: CRC=0x27acc667, Offset=2407488, Size=4400
  [116] Entry: CRC=0x27bd8218, Offset=619372, Size=5174
  [117] Entry: CRC=0x283033af, Offset=914487, Size=4644
  [118] Entry: CRC=0x28633bbb, Offset=605775, Size=5174
  [119] Entry: CRC=0x28dfc6c5, Offset=2386148, Size=4572
  [120] Entry: CRC=0x2932c861, Offset=636327, Size=5174
  [121] Entry: CRC=0x29832088, Offset=681834, Size=4624
  [122] Entry: CRC=0x29ba2f29, Offset=2204701, Size=1288
  [123] Entry: CRC=0x29eade10, Offset=2337931, Size=3128
  [124] Entry: CRC=0x2affd16e, Offset=353677, Size=9264
  [125] Entry: CRC=0x2b6279da, Offset=310627, Size=2104
  [126] Entry: CRC=0x2bb7e544, Offset=2400297, Size=5176
  [127] Entry: CRC=0x2bdc82bd, Offset=546367, Size=744
  [128] Entry: CRC=0x2c5a05c8, Offset=1295305, Size=5174
  [129] Entry: CRC=0x2cd1a3ae, Offset=2102815, Size=1236
  [130] Entry: CRC=0x2d3c52a4, Offset=1933566, Size=5176
  [131] Entry: CRC=0x2db339b8, Offset=1852572, Size=1288
  [132] Entry: CRC=0x2df5b551, Offset=1850612, Size=2102
  [133] Entry: CRC=0x2e2ad9da, Offset=1704508, Size=5132
  [134] Entry: CRC=0x2e34882d, Offset=751333, Size=5174
  [135] Entry: CRC=0x2e678039, Offset=861748, Size=5174
  [136] Entry: CRC=0x2e73ee13, Offset=186979, Size=5174
  [137] Entry: CRC=0x2eefe9a9, Offset=2254526, Size=3126
  [138] Entry: CRC=0x2f657bf7, Offset=743693, Size=4344
